Username,label,Time,action
老客run坨坨 07:10,"['', '老客']",07:10,['从直播频道关注来了']
未关注老客min87love 07:10,"['未关注', '老客']",07:10,['进入直播间']
老客假日早晨 07:10,"['', '老客']",07:10,['从推荐来了']
未关注新客TB_49947974 07:10,"['未关注', '新客']",07:10,['从推荐来了']
老客pingguo 07:10,"['', '老客']",07:10,['进入直播间']
老客小小蛇 07:10,"['', '老客']",07:10,['从推荐来了']
老客tbNick_bksq7 07:10,"['', '老客']",07:10,['从直播频道关注来了']
新客小蘑菇-up 07:10,"['', '新客']",07:10,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
老客杜杜 07:09,"['', '老客']",07:09,['点击了 不退换 美国直邮  CK 男士半拉链卫衣刺绣标【40JP234】 内']
老客伊舒飞婷1023 07:09,"['', '老客']",07:09,['点击了 【A1270】不退换美国直邮 拉*夫 男士 小熊骑马连帽卫衣']
新客落叶不随风 07:10,"['', '新客']",07:10,['从推荐来了']
老客茄皮紫的蜜思婷 07:10,"['', '老客']",07:10,['进入直播间']
老客MR简爱 07:10,"['', '老客']",07:10,['进入直播间']
老客Momo白羊女 07:10,"['', '老客']",07:10,['从直播频道关注来了']
老客哞哞牛牛 07:10,"['', '老客']",07:10,['从推荐来了']
老客悠悠我心衣 07:10,"['', '老客']",07:10,['从推荐来了']
老客521我是一个小伙子:) 07:08,"['', '老客']",07:08,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
新客粉扑扑的普亚菠萝 07:10,"['', '新客']",07:10,['从推荐来了']
老客胖胖小猫1117 07:10,"['', '老客']",07:10,['进入直播间']
未关注新客爱吃香芋蒸鸭的星河 07:10,"['未关注', '新客']",07:10,['进入直播间']
老客能掐会算zz 07:10,"['', '老客']",07:10,['从推荐来了']
新客巴菲克 07:10,"['', '新客']",07:10,['从直播频道关注来了']
老客清凉小竹 07:10,"['', '老客']",07:10,['进入直播间']
老客小美妈咪 07:10,"['', '老客']",07:10,['从推荐来了']
新客巴拉郭郭_2008 07:10,"['', '新客']",07:10,['从直播频道关注来了']
新客用户_21209194 07:10,"['', '新客']",07:10,['从推荐来了']
新客溜溜酱小姐姐 07:10,"['', '新客']",07:10,['从推荐来了']
老客YaoYao 07:10,"['', '老客']",07:10,['从推荐来了']
老客胖胖小猫1117 07:10,"['', '老客']",07:10,['从推荐来了']
老客鱿鱼面筋小公主 07:10,"['', '老客']",07:10,['进入直播间']
老客用户_29017488 07:10,"['', '老客']",07:10,['从直播频道关注来了']
老客地半仙 07:10,"['', '老客']",07:10,['进入直播间']
未关注新客ZHouZHou 07:10,"['未关注', '新客']",07:10,['进入直播间']
老客桑叶 07:10,"['', '老客']",07:10,['进入直播间']
未关注新客Ssugar壮壮0401 07:10,"['未关注', '新客']",07:10,['从推荐来了']
新客在于我们的 07:10,"['', '新客']",07:10,['从推荐来了']
老客凯美特829 07:10,"['', '老客']",07:10,['从推荐来了']
未关注老客Judy0216 07:10,"['未关注', '老客']",07:10,['进入直播间']
新客红爱米 07:10,"['', '新客']",07:10,['从推荐来了']
老客悠悠我心衣 07:10,"['', '老客']",07:10,['点击了 【0331025】不退换美国直邮 拉*夫 女士圆领卫衣【211923382】']
老客tbNick_bksq7 07:10,"['', '老客']",07:10,['点击了 【A0021】不退换美国直邮海*鸥女士瑜伽裤【0316-900】']
老客伊舒飞婷1023 07:10,"['', '老客']",07:10,['点击了 【0329017】不退换 美国直邮 CK 男士短袖T恤【40LP852】']
未关注新客希米果 07:10,"['未关注', '新客']",07:10,['进入直播间']
未关注老客小确幸 07:10,"['未关注', '老客']",07:10,['从推荐来了']
未关注新客鲜蓝的丽春 07:10,"['未关注', '新客']",07:10,['进入直播间']
老客还是小冷 07:10,"['', '老客']",07:10,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
老客伊舒飞婷1023 07:10,"['', '老客']",07:10,['点击了 0331030】不退换美国直邮CK女士短袖T恤 【cjct3776']
新客tb036625192 07:10,"['', '新客']",07:10,['从商品搜索来了']
未关注新客希米果 07:10,"['未关注', '新客']",07:10,['从推荐来了']
